用户,是否看过,评分,评论时间,有用数,评论,,
哪吒男,看过,力荐,2017/1/25 14:34,18401,我和我不想要的后半生，我和我不愿意和解的自己。你们都朝春天去，就留我在破碎里又丧又美丽。,,
﻿荞麦,看过,还行,2017/1/28 3:20,651,……就还好啊。怎么大家集体爱上这种了？,,
11km,看过,推荐,2017/1/25 23:52,14058,那些劝我们向前看的朋友，“不是所有人都可以和过去和解”,,
王大根,看过,推荐,2017/2/20 10:07,2937,人生的伤口，二十五岁之前怪父母，二十五岁之后怪社会，最惨就是巨大伤口摊开在那里，腐臭流脓永不愈合，然而，无人可怪,,
狸猫厌倦打僵尸,看过,力荐,2017/2/2 20:41,12235,有時關不上冰箱的門 腳趾撞到了桌腿 臨出門找不到手機 嚎啕大哭 你覺得小題大作 只有我自己知道為什麼,,
陀螺凡达可,看过,推荐,2016/12/14 6:09,2107,又名《回忆杀》。有遗憾和失望，二刷后感觉对角色的好感甚于电影，卡西的角色写得演得太饱满了，让我对这个角色产生了依恋感。,,
布鲁斯老师,看过,力荐,2016/9/15 7:53,9802,我们都有权利不与自己的过去和解。#2016TIFF,,
桃桃林林,看过,推荐,2017/2/16 19:11,1076,生活流，如何绕过苦难，丧到骨子里的卡西，绕不过去的苦难。,,
山河入梦,看过,力荐,2017/1/26 20:28,7877,我最怕的就是这种电影，看完以后什么都讲不出，就想静静地待着，静静地沉溺在挥之不去的抑郁中。结局仿佛看到了光，又好似什么都没有。,,
影志,看过,力荐,2017/2/16 22:37,1170,以前的生活哲理是“忘掉过去，才能往前”，这一部是“忘不掉，走不出，也是一种生活本真” 内心戏和回忆杀拍的太细腻…与《爱乐之城》并列2016年度最佳。“心一旦碎了，就会永远一直碎着。”,,
谢飞导演,看过,力荐,2017/2/18 9:00,637,互联网的发达，使我们也可以同步享受奥斯卡颁奖前的赏片月了。本片的长处是对遭遇家庭悲剧的主人公之心理崩溃及挣扎的刻画，编剧及表演是亮点。海边冬季小镇的明丽风景及温暖、厚重的古典音乐交融一体的描绘与舒解，也功不可没。,,
A L E X,看过,力荐,2017/1/31 22:34,750,卡西这种不像在表演的表演确实是如今好莱坞最缺稀的,,
LORENZO 洛伦佐,看过,推荐,2017/1/18 7:37,377,四星半。如果被生活判了死刑，还有什么值得留恋？一场死亡揭开了旧伤，也把最暖的亲情带到面前。细碎的拥抱和拍抚，像零星的火种，终于点燃了男主的心中余烬。即便他心里藏着全世界的冰雪，那也会慢慢溶解，丧门星也会有春天。凯西表演冷静震撼直让人心痛心怜，用幽默外壳下的重度悲伤直指人心。,,
Meng,看过,推荐,2016/9/17 11:34,430,音乐略满，阿弗莱克妥妥的影帝提名；作者应该受过女性伤害，女性角色都有点怪。,,
