用户,是否看过,评分,评论时间,有用数,评论,
北极熊,看过,还行,2016/3/4 21:02,1303,最精彩的动画是用想象力拍出真实世界难以实现的故事，而不是用动物化填充一段如果是真人就普通到不能再普通的烂俗故事。笑料有，萌趣有，但更有的是莫名其妙的主旋律和政治正确，恐怕没有评分所体现的那么出色。,
﻿悄悄,看过,力荐,2016/3/1 16:55,9439,看过了这一部，我好像能够更坚定地说我会当迪士尼一辈子的粉丝。迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,
张小北,看过,力荐,2016/3/5 10:43,672,迪斯尼最近几年最好的一部动画片。不但娱乐性超强，而且主题和人物的深度也已超过一般动画片的维度了。,
m89,看过,推荐,2016/3/4 11:49,1708,换了新领导就是不一样。迪士尼暗黑大电影，洛杉矶罪案片风格和内核。还真是动物乌托邦，美国针对有色人种，欧洲针对难民，天朝针对公知和五毛吗？人设精彩，细节丰富，但要说创意超《头脑特工队》显然就不实事求是了。,
劈叉叉叉叉叉,看过,力荐,2016/2/26 4:20,7353,无论是人设，世界观，动画制作，还是剧本，都挑不出毛病来啊啊啊！！细节多到爆！！好幸福！！！！>w< 最难能可贵的是配角们的人物性格和形象设置都非常饱满（教父梗好惊喜>< ） 虽然是动画，但是剧本还是隐射很多人类社会的种族问题，以及政治两党上位之争的问题。另外我狐Nick的眼神是在太苏了TwT...,
祥林嫂,看过,推荐,2016/3/2 11:18,11228,树懒太他妈好笑了！！那两分钟我嗓子都哑了！！卧槽！！真是太他妈好笑了！！,
影评终结者,看过,力荐,2016/2/26 10:28,6019,完爆冰雪超能头脑，动物再次证明了动画片不止是给小朋友看的，而是全年龄段和世界级的，尖端数码特技、新意剧情、老梗新用搭配萌Q画风，乌托励志、搞笑温情、自然销魂、阴谋反转，用动物来映射人类，涉及种族歧视和两党斗争，无论从制作技术还是政治倾向或是社会意义来说，基本锁定今年奥斯卡最佳动画,
黄青蕉,看过,推荐,2016/3/7 20:47,5146,港真，面对人家动画片里连一把椅子扶手上的铝合金划痕都做得活灵活现的态度，咱们就默默低头学就好，不要一天到晚吹“国产视效大片”这个概念了，略尴尬,
桃桃林林,看过,推荐,2016/3/4 17:41,4135,不仅是个小孩子玩玩闹闹的喜剧动画，成年人同样可以很享受这个故事。一个动物的乌托邦，理想与现实。有一个有趣的案件，又有很多关于人类世界的暗喻与指涉，还有教父或毒师这样的小梗。以及狐狸和兔子都那么可爱，那么搭。,
羚羊的灵魂,看过,力荐,2016/2/23 22:03,4700,做冰棍那机智的不像话！！！全片最爱！！！想吃！！！,
暹罗copen,看过,力荐,2016/2/28 21:46,2835,哎呀呀~这些年来个人心目中的最佳动画竟然不是皮克斯出品。,
亵渎电影,看过,推荐,2016/3/6 23:34,1665,好莱坞这套讲故事的模式可以把全世界都吃的死死的。,
影志,看过,力荐,2016/3/15 22:55,304,100个人可以看到100种解读，太多细节主题值得称道：重视与忽视、尝试与安定、偏见与包容、恐惧与误会…流俗或新鲜，都在这样一部颠覆性迪士尼作品里放大呈现。“我们都有很多弱点，却也有着更多珍贵的共通” 第一次摸到羊头的狐尼克、睡觉时数自己的羊、爸妈总会在紧急时刻来电…朱迪兔的道歉直接泪奔,
Otocolobus,看过,推荐,2016/2/24 3:47,1055,故事中规中矩，立意却是小孩看了笑大人看了深思的寓言故事。It's a story about minority, stereotype and acceptance. I'm glad disney plants the seed of equality to every child who sees this.兔子跟狐狸是最佳拍（情）档（侣）！警局前台豹子不是gay你找我！迪士尼彩蛋都棒棒的！
周杰伧的小粉丝,看过,推荐,2016/3/8 14:01,812,疯狂动物城最现实的一点在于，兔子想做个好警察，她确实也做到了嫉恶如仇，恪尽职守。但她在面对杀人如麻的黑帮老大时，毕恭毕敬，甚至还成为了老大外孙女的教母，实际上就是认贼作父了。这可不就是最现实的现实。,
迟到千年,看过,推荐,2016/3/1 9:41,576,打分好高啊！每个动物都好像真的存在的人（一开始上班场景里的长颈鹿完全就是李光洙……）（reception的豹子好像我那个很娘的同事……）一开年就赢了，笑点多内涵丰富。,
AuraWang,看过,较差,2016/3/4 19:30,349,我不喜欢 近年来的最差 预告片把笑点亮点都透干净了 视效观感好差 大部分场景在黑夜 3D看得real心累 而且3D很差劲= =本来以为会对真实世界讽喻 结果肉食动物发狂的原因竟然那么无脑 前半段的bully情节 各种过分的嘲讽 兔子绑架狐狸过分 动作场面也拍的很一般 看完只觉得浑身不爽,
艾小柯,看过,推荐,2016/3/19 18:45,81,可谓美国文化与价值观的一次绝佳大放送。故事整体还好，非常美国非常好莱坞，而有些桥段的确绝妙。,
铎奇,看过,力荐,2016/3/5 10:55,576,妹想到，老娘弯了一世，被一只动画狐狸掰直了。兔子我也爱！迪士尼启用女性主演真是太成功了，迪士尼现在从小孩就倡导的男女无差别教育好棒噢。警局前台基佬豹好萌！,
诗人橙子,看过,力荐,2016/2/15 7:14,2475,绝对的好片子 裂墙推荐。实在是因为另一场满了…随手挑了这个片子。真是5分钟一小笑 10分钟哄堂大笑。看那个又懒又慢树獭简直要锤墙了。旁边法国妹子精辟的吐槽！看！这是我们法国人。我要憋到内伤了。最后散场大家都静坐着等着整首歌放完…五星好评。2016年度十佳。,
小斑,看过,推荐,2016/3/2 7:45,3781,故事流程对小盆友来说不艰深对大盆友也不无聊。树懒那段，跟法国公务员打过交道的都会心一笑。兔子的微表情做得很棒。然而对所有的群体标签统一嘲讽的结果就是下意识也贴了标签（比如狐狸必然聪明却捞偏门，兔子一定是繁殖癌，猛兽全是雄性，etc）。最后，可惜世界不是一部迪斯尼出品的动画片。,
云淡风轻,看过,力荐,2016/3/4 3:40,2354,不要看任何影评，如果可以预告片都别看，直接买票就好了。你要啥这电影里有啥！,
tina,看过,力荐,2016/3/1 16:29,2296,赞 看完赶脚世界都美好了,
白桃苏打气泡水,看过,力荐,2016/2/28 16:31,2146,想嫁给又吊儿郎当又酷得不像话的狐狸先生。,
瑾朵朵,看过,力荐,2016/3/5 16:30,620,求同款录音笔！,
CharlesChou,看过,推荐,2016/3/4 15:12,3073,"对比Frozen又是一次进步，但迪士尼家的反转还是太好猜，在最明显的线索被披露前真反派其实就已让人隐隐有种感觉。但抛去这点不看整部电影的主题和执行都堪称模范，还顺带早早地贡献出了今年最佳CP。""You know you love me.""(整个人在椅子上被苏晕",
Marcus,看过,力荐,2016/3/4 2:41,890,赞到惊人，大迪斯尼动画一年比一年精彩！朱迪只身去陌生的大城市追梦，让我又追忆起自己那美好而充实的留学生活了。Sloth们的每次出场自己都要笑到面瘫了！而朱迪跟尼克哭着道歉的那段我也跟着哭了，朋友之间有时候就应该这样把脸拉下来好好道歉！总体反映的各种社会现象以及政治问题都很贴切到位。,
米粒,看过,推荐,2016/3/8 11:06,384,车管所的那些树懒是照着王思聪画的吗😂,
Ramipasu,看过,力荐,2016/2/27 21:56,363,激萌！并且告诉小盆友和大盆友们，不论种族不论背景人(动物)人(动物)平等，即使是弱势群体(请自己代入现实)也不可以搞极端手段来求取认同。,
anewpig,看过,力荐,2016/2/27 16:48,299,很难想象居然是傻白甜的迪斯尼拍的！虽然是动画片但写的用心寓意很深 估计不少成年人能从中有所共鸣... 作为一个加班狗三俗狗花痴狗 喜欢女主家的275个表兄妹 叨叨逼逼的前台和慢到整个世界都不好了的树懒 还有站定了兔子狐狸CP 编剧也是入戏太深 动物裸体天然浴场什么鬼哈哈哈哈哈哈,
梵蒂冈的妇男,看过,力荐,2016/3/5 22:55,305,我希望所有孩子能看着这种电影长大,
芦哲峰,看过,还行,2016/3/10 18:20,245,动画本身是不错的，一贯低幼的迪斯尼，拍出了皮克斯的水准。但是把电影当做传播价值观的工具，是无法令人享受到由单纯艺术带来的更为纯粹的乐趣。这段时间感觉整个世界都在倒退，西方正如《疯狂动物城》一样，从自由选择走向政治正确；而天朝则越来越像《动物庄园》，在大步流星地奔向朝鲜。,
玑衡,看过,还行,2016/3/24 13:20,124,为什么那么多人会认为这部政治洗脑片好看……每一句兔子说的话都是propaganda.,
eita,看过,力荐,2016/2/21 7:40,180,全程笑裂！超慢速水獭素预告片就已经笑死，还有🐑睡觉也要数绵羊的梗啊哈哈哈哈！,
frozenmoon,看过,推荐,2016/3/6 15:50,81,动物乌托邦/反乌托邦，罪案类型，童话，各种萌细节，各种小讽刺，很赞很赞。,
