用户,是否看过,评分,评论时间,有用数,评论,
Crystalline,看过,力荐,2017/3/28 0:40,21371,跟媳妇一起看的。看到一半的时候说了句最毒妇人心，指的那个情妇。后来看完，我媳妇特别藐视我，说了句男人都不是个好东西后睡了~。。我一脸尴尬~。。。总之。。。这是个好电影。,
﻿冰山李,看过,较差,2017/3/29 19:03,266,看不出导演做了什么，感觉还是好好干编剧吧,
Enigma,看过,力荐,2017/3/20 19:12,11775,其实这种多重反转的电影很容易bug频出，但是这部完成度太高了，质感和小细节都相当漂亮。导演对后半程的解密把控地相当出色，直接让观感上升了一个level。西班牙的悬疑片总是给人惊喜。（猜到反转并不是多了不起的事，请不要在悬疑片短评区剧透好吗，靴靴。）,
frozenmoon,看过,推荐,2017/3/28 19:37,12388,律师是假扮的这个梗其实倒是不难猜。不过这不是重点。重点在于“叙述”和“真相”的关系。在缺乏物证链条的基础上，男主的每一次叙述其实都是自洽且成立的，但或许也都不是真的。这一点才真的引人深思。我们所认定和掌握的真相，又有多少是被叙述掌控的呢？,
大島,看过,推荐,2017/9/4 22:23,6836,西班牙人太热情了 在我们这房间里叫破喉咙都没人理的,
Fornever,看过,推荐,2017/4/2 16:44,4125,好看。另外建议豆瓣给「我看了七分钟就猜到结局」的观众准备彩蛋，他们是推动电影业进步的动力，值得满屏掉落大拇指。,
颜落寒,看过,推荐,2017/3/19 7:35,3826,剧本太精彩，处处伏笔，层层反转，虚实交错，暗潮涌动。自作聪明的往往一败涂地，不动声色的才能笑到最后。,
芦哲峰,看过,推荐,2017/3/27 11:31,3323,所有爱玩反转的悬疑电影都可以用一句话来概括：你以为你以为的就是你以为的。,
柯里昂,看过,推荐,2017/3/21 13:10,1358,看过片子后再来这个页面，发现海报上人物关系已经把结局剧透了。观影过程很享受，虽然结局并不难猜，但几段假设推理确实容易被误导，尽管每个假设都有一些经不起推敲的小细节，但是并不影响整体效果，除了老夫妻过分精明和易容的不彻底外，几乎没有大败笔。说别人脸盲的希望你在电影院也能一眼认出来。,
VeryGZ,看过,还行,2017/3/22 21:56,7207,开。车。的。时。候。不。要。谈。情。说。爱！ 系。好。安。全。带！（认真脸）,
影志,看过,力荐,2017/3/25 23:15,7230,现在能有意外结局还让人颠覆的故事，真的很难得了。结局半小时的反转再反转，能自圆其说，能刷新认识，能大呼过瘾，对一部悬疑推理片来说已经完成的相当漂亮。不会苛求太多，这样的故事和设定已经满足。,
麻绳,看过,推荐,2017/3/25 20:32,1133,作为一部连环反转的惊悚片，此片对观众心理的拿捏是教科书级别的。不难猜中结局，但这个过程还是太精彩了。,
王大根,看过,推荐,2017/9/16 14:45,285,日本小说里一百个这样的故事有没有，可能还不止一百个,
子酉,看过,还行,2017/3/26 13:44,1961,一部片检验脸盲症发病率。,
孬爷爷و,看过,力荐,2017/4/2 21:35,672,记得拉窗帘！,
朝暮雪,看过,推荐,2017/3/27 11:46,297,竟然能把“打小三”的故事拍到《控方证人》和《罗生门》的高度，服气！,
黄青蕉,看过,推荐,2017/4/25 20:53,274,叙事的细腻和节奏感还是挺好的，就是最后那个易容梗太没必要了，完全有别的办法可以规避漏洞，况且易完之后还是很像好吗！只够欺负重度脸盲了！,
Andrea,看过,力荐,2017/3/24 23:00,6020,好看，强烈推荐。问题是如此重要的辩护人竟然不是当面引荐的。,
Indecent time,看过,力荐,2017/4/25 23:43,3417,“男主玩家的言论真是无懈可击，可惜我是预言家，你已经被我查杀了，你自爆不自爆”,
同志亦凡人中文站,看过,推荐,2017/3/28 19:42,573,拍摄手法太像在套供了，导致看到一半就猜到了故事走向。Mario Casas留胡子后还是那么sexy～,
Panda的影音,看过,力荐,2017/3/24 23:32,1486,2015年看的《罪恶之家》，2016年看的《完美陌生人》，2017年看的《看不见的客人》，共通之处就是利用剧作上的巧合和人性的叵测，将一个充满黑色悬疑的精彩故事有条不紊地讲述出来，虽然过程中猜测出女律师古德曼的身份，但劳拉却并非我预测地来个《大卫·戈尔的一生》的自我救赎……人言可畏亦难信？！,
文泽尔,看过,力荐,2017/3/29 17:54,953,调度上有种将阿加莎小说当代化的直感 谷仓之冰和密室的三重解答亦是对黄金时代的致敬 拍推理片需要的是娓娓道来 不急不缓的叙述 以及临近收尾时暴风骤雨般地揭晓真相 本片都做到了 虽然对于非脸盲症而言这个最早来自莎士比亚的诡计略显累赘 讲义系列若拍成电影 要的也是这种感觉,
木卫二,看过,推荐,2017/9/19 22:51,492,就不断论证这么个事：人很坏，坏到你都无法想象的坏，尤其是那些高高在上的社会精英。只有如此诛心，才能理解男主为何要铤而走险。最后结局自然要掉入一个常见套路：反派死于话多。作为电影，除制造冷色与调成昏暗，仍有种故意制造紧张悬念惊悚的搬演感觉。还有，终于明白那么多人看目击者要想到它,
喜悦之地,看过,力荐,2017/3/22 13:59,823,2016最佳，好久没看这种过山车式悬疑片了,
有心打扰,看过,还行,2017/3/20 20:57,1294,有多少人是猜中了结尾却没猜中过程？有多少人是对猜中的结尾感到失望，对没猜中的过程感到傻逼？影片的引申主题就是——只要是个人说的话都别信。,
亚比煞,看过,力荐,2017/7/12 23:06,569,精彩的本子。最后的反转倒不难，难在多重结构的编织，对话环环相扣，很不好写，特别容易出bug，这个编剧完成的很漂亮。,
杨迪,看过,力荐,2017/5/22 1:29,624,整个看到鸡皮疙瘩大起，爱死了。,
