用户,是否看过,评分,评论时间,有用数,评论,,,
littledepp,看过,力荐,2016/11/28 22:41,10025,有个印象很深的片段，首战第一晚他与战友两人坐在战壕里，战友开了一个罐头问他怎么不吃。满脸黑漆漆战灰的道斯笑着摆了摆手说：我不吃肉。多么可敬的人啊，他的信仰无法改变战争，而战争却拿他看似最普通的信仰也无可奈何。,,,
frozenmoon,看过,还行,2016/12/10 20:38,1049,1.战争场面确实不错，子弹穿透头颅以及被炸毁的半个身子，但对国产片的审查估计还是不能给到这尺度。2.感情线的设定有一种豁出去的庸俗。3.不管信仰强不强大，让一个不拿枪的士兵上战场就是个笑话，不能因为奇迹般的特殊情况被这笑话转化为一种精神。3.说到底还是一个老兵走后门用特权帮儿子解围。,,,
失控的小跳蛋！,看过,力荐,2016/12/8 22:29,8030,队伍配置中奶妈的重要性,,,
twotwo,看过,力荐,2016/12/11 14:36,283,看的过程中唯一想法就希望这辈子都不要经历战争,,,
陀螺凡达可,看过,推荐,2016/11/27 3:42,646,3.5 前半小时和爱情戏俗得发指，从入伍开始才走上正轨，上战场就很好看了，虽然时不时出现的槽点还是会让人出戏，但最后成功被煽到。Bromance基友的存在感和感人程度抵十个女主告诉我不是一个人。对加菲的印象也大有改观。,,,
邓安庆,看过,还行,2016/12/10 15:11,222,蛮好看的。只是看时有点烦躁：（1）你坚持你的信仰可以，可是你坚贞的固执把其他人都给卷了进来，为你操心，为你愤怒，带来诸多冲突，当然这个固执也是他之后救了那么多人的动力。（2）这种类型的片子女性永远都是扁平的配角，有点厌倦了。,,,
杨欢喜Metiche,看过,力荐,2016/12/4 17:55,219,完美的战争电影。你把信仰坚定到极致，周围人便会把你当做信仰。开始的时候我甚至愚蠢地质疑过他不拿枪上战场的动机，对Holy Bible条件反射般抵触，以及对“走后门”入伍翻个白眼。直到上战场后，我为自己的狭隘无比羞愧。精神的极致追求成就开挂的肉体，坚定的人生原则创造存在的意义。,,,
弥呀,看过,还行,2016/11/14 8:16,751,真实故事非常值得尊敬，但是这种满屏飞肠子的宗教狂热/主旋律的抗日神片风格实在不能认同。槽点多到数不过来，加菲主角光环大到可以徒手接手榴弹，队友捡回来的圣经可以直接穿越成入党申请书，日军智商战斗力全程不在线，没烧悬崖边的绳索，也不知道往下扔炸药包，啊…还有那迷之展开的感情戏…,,,
咸菜帮老大,看过,推荐,2016/12/1 22:46,26159,以我有限的观影经验，优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。这个片子基本都做到了。,,,
同志亦凡人中文站,看过,力荐,2016/11/2 16:56,3323,枪林弹雨过，片叶不沾身。信仰没能改变战争，但也没让战争改变自己。梅尔·吉布森的宗教狂热病和个人英雄主义都让我想BB，但因为有本命在闭着眼睛也要给五星啊～（只有加菲才能这么一脸阳光的面对杀戮和暴力，五好青年的笑容太美！！！）,,,
