用户,是否看过,评分,评论时间,有用数,评论
安东,看过,推荐,2016/9/12 1:11,30619,明知山有釜，偏向釜山行。听名字像福建人拍的。
﻿鯨,看过,力荐,2016/8/21 0:14,14389,这部片子里的孕妇和甄嬛传里的孕妇战斗力不是一个次元的
同志亦凡人中文站,看过,推荐,2016/8/11 16:32,14817,妈呀韩国这丧尸片一来就全民皆丧而且个个跑得飞快！套路齐全、概念明确的商业电影，有阴谋有人性有牺牲，最后剩谁一目了然。看别人都从好莱坞毕业了我们还在比妖塔盗墓谁更烂，我心塞...
zjj,看过,推荐,2016/8/25 22:09,3731,这片最大的bug难道不是即使过隧道列车里面也有灯啊？
饮歌,看过,力荐,2016/8/1 22:35,8955,丧尸再也不是西方的专利了！韩国影人再一次向世人证明了他们非凡的叙事能力和精巧的借鉴本事。没有好莱坞式拯救人类的大英雄主义，多了的是人性的反思与情感的刻画。无论怎么看，这部电影都是亚洲影界的头一遭，五星鼓励！
sherry124,看过,推荐,2016/8/21 15:59,3441,这绝壁是散户在电影史上被黑得最厉害的一次……万恶的基金经理在收割韭菜后依然成了英雄……
荔枝超人,看过,还行,2016/8/31 22:38,3463,套路很深，下料很重！据说这部电影耗资100亿韩元，其中90亿用于几百名群演的霹雳舞教学费用。哦，对了，还要唱好歌，关键时候保命就靠他了。
L.John,看过,推荐,2016/9/1 17:26,445,继公路片之后，韩国开创了铁路片。ps 天下无贼真不差。
肉腾腾,看过,推荐,2016/9/12 14:22,898,“你不好好读书，长大就会变成他这样。”——大反派的台词我竟然也说过。如果最后一枪开了，我给五星。＃我果然就是大反派＃
小斑,看过,推荐,2016/8/19 15:53,401,丧尸和密闭空间，这两个元素加起来，只要剧本和执行不坑，爆米花的基本好看就有了。就可惜在“智取”这一点上想法少，武器设定也有限，一路各种扛丧尸有点重复单调，花样不够翻新。人物也好坏得太分明了，孕妇小孩老人过于标配。其实吧，最后要让那个人渣活下来才是正确的打开方式。
Redux,看过,推荐,2016/9/12 21:17,3248,气死我了，你们为什么不等天黑再出来?为什么?!?!?!
一颗豌豆,看过,推荐,2016/7/22 23:42,1984,最喜欢老奶奶这一人物设置 以及爸爸从火车跳下那个画面
Hecate,看过,力荐,2016/8/2 4:17,5831,目前亚洲商业片的最高水准 看完之后对国产电影充满了愤怒。
一粒沙白粥,看过,推荐,2016/9/12 23:40,1490,那个小女孩上了车，电影开场了那么久，我才看出来，她是个女孩！那她爸爸年年给她买什么Wii🙄
亵渎电影,看过,推荐,2016/9/12 11:10,1212,拍类型片这事，韩国甩出天朝几条街，人家已经是好莱坞一流的水准了，虽然各种元素用的很主流，但这就是个主流的商业大片，而且韩国人的催泪绝对是纯正的韩国特色，而且还保留了韩国电影的日常各种黑，算是部纯正的韩国味儿的好莱坞大片。
恶魔奶爸Sam,看过,力荐,2016/9/10 22:46,5481,大叔真屌，不过这个故事怎么看都是一个贱人害死一堆好人，让人生气
影志,看过,力荐,2016/9/12 1:09,4261,好过美国的《僵尸世界大战》，韩国在丧尸类型片的开拓一出手就登峰造极，个别桥段快准狠到了心骨眼！最后孕妇和小女孩穿过隧道如果遇到河正宇，那这片就真的是神作了！＝。＝
木卫二,看过,推荐,2016/9/12 0:15,1050,联系几个前作，感觉导演是深深的厌恶人类啊。毕竟某些人类要是面目可憎起来，真的比丧尸恐怖太多了。《釜山行》一直表现平凡英雄，有始有终。没有全开主角光环，没有太bug的战斗力，合理保存了妇孺、亲情与歌声。第一枚丧女、坦克大叔、空降丧尸、高速丧尸车祸、挂满丧尸的火车头都十分出彩。
大島,看过,推荐,2016/9/13 0:28,666,只觉得郑有美好美啊
野象小姐,看过,推荐,2016/9/16 20:41,436,不知道以我爸的智商和敏捷度，能不能撑到最后那截小火车。。
ღ 狐不悔，,看过,力荐,2016/9/12 9:26,951,“你留在这里比较安全。”“不要，这里更吓人。”最简单的对话，把人性的丑恶显露无疑。比起僵尸，更可怕的是那些看着他们活生生放任死去的人类。大叔是阳面，那西装男就是阴面。为大叔、乞丐和爸爸泪目…
有心打扰,看过,推荐,2016/9/11 23:26,350,1.这就好像在一列16节的高铁里面，连续进行了好几场百米冲刺比赛一样，每一段煽情戏码就是比赛间隔的休息喝口水；2.韩国的灾难片的掌控能力也确实驾轻就熟了；3.几乎所有角色都处理得很好，连群演丧尸也是；4.喜欢马东锡夫妇、中学生小两口之间的煽情段落，很美！5.年度台词：这里更危险。
umi,看过,力荐,2016/7/24 8:35,308,正巧赶上第100个评论~ 被导演的镜头吓死也被感动到不行 唯一要抱怨的是影片最后戛然而止影院灯光亮起得太快 狼狈的我拿着纸巾哭得正伤心 实在不能再囧赶紧收起情绪。。
