排名,电影id,名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数
1,30253080,汉纳·盖茨比告别秀：娜娜 Hannah Gadsby: Nanette,2018,乔恩·欧布,汉纳·盖茨比,喜剧/脱口秀,英语,澳大利亚,9.5,7792,80.90%,14.40%,3.20%,0.70%,0.80%,3604
﻿2,30203557,黄子华栋笃笑之金盆𠺘口 黄子华栋笃笑之金盆啷口,2018,黄子华,黄子华,喜剧,粤语,中国香港,9.5,3294,82.90%,12.20%,3.20%,0.50%,1.30%,1167
3,30312425,丹尼尔·斯洛斯：现场表演 Daniel Sloss: Live Shows,2018,丹尼尔·斯洛斯,丹尼尔·斯洛斯,喜剧,英语,美国,9.3,4968,69.70%,25.00%,4.40%,0.50%,0.50%,2152
5,30140054,绝对要赢 羽生结弦 向自己发起的挑战 絶対に勝ってやる 羽生結弦 自分への挑戦,2018,日本テレビ,羽生结弦/宫野真守,,日语,日本,9.3,993,75.40%,17.40%,5.30%,0.30%,1.60%,281
6,27040774,超感猎杀：完结特别篇 Sense8 Finale Special,2018,拉娜·沃卓斯基,裴斗娜/杰米·克莱顿/蒂娜·德赛/塔彭丝·米德尔顿/马克思·雷迈特/米格尔·安赫尔·西尔维斯特/布莱恩·J·史密斯/托比·奥伍梅尔/弗莉玛·阿吉曼/帕鲁布·科里/阿方索·埃雷拉/泰伦斯·曼/达丽尔·汉纳/纳威恩·安德利维斯/奈斯鲍提斯塔/斯蒂芬·鲍克思/阿米拉·加扎拉/约书亚·格罗斯/埃伦迪拉·伊瓦拉/雅丽·乔维尔/西尔维斯特·迈可伊/Annie Munch/埃文特·斯特朗/马克斯·毛夫,剧情/科幻/同性,英语,美国,9.2,53789,71.10%,19.90%,7.10%,1.20%,0.60%,17810
7,33446692,17th音乐会,2018,任家萱,任家萱/田馥甄/陈嘉桦,音乐,汉语普通话,中国台湾,9.1,327,68.50%,23.10%,6.00%,1.20%,1.20%,74
8,30377925,我的小马驹：最棒的礼物 My Little Pony: Best Gift Ever,2018,Denny Lu,塔拉·斯特朗/安德莉亚·利布曼/阿什莉·鲍尔/塔比莎·杰曼/凯西·薇瑟乐克/约翰·德·兰西/山姆·文森特/加里·切克/Meaghan Hommy/史葛·麦克尼尔/Ingrid Nilson/Sean Thomas/安德鲁·弗朗西斯/布瑞特·麦考利普/Alison Wandzura/Asia Mattu/Rebecca Shoichet/Kazumi Evans/珊农·陈-肯特,喜剧/动画/歌舞/家庭,英语,美国,9.2,326,72.80%,17.50%,7.10%,0.70%,1.90%,66
9,30259761,哈库梅伊与蜜珂析OVA：螺丝与床 / 地炉与博弈 ハクメイとミコチOVA「ネジとベッド と 囲炉裏と博打」,2018,安藤正臣,松田利冴/下地紫野/松风雅也/新谷真弓/津田健次郎/内山夕实/市道真央/後藤啓介,动画/奇幻,日语,日本,9.2,596,72.70%,19.20%,6.20%,0.20%,1.80%,95
10,30432348,柯南无国界：意大利 Conan Without Borders: Italy,2018,柯南·奥布莱恩,柯南·奥布莱恩,脱口秀,英语,美国,9.2,340,68.90%,23.20%,5.70%,0.70%,1.40%,72
11,30279151,探险活宝之钻石与柠檬 Adventure Time: Diamonds and Lemons,2018,Hanna K. Nyström,杰里米·沙达/约翰·迪·马吉欧/汤姆·肯尼/奥利维亚·奥尔森/贾斯汀·罗兰/海登·瓦尔希/彭德尔顿·沃德,喜剧/动画,英语,美国,9.1,275,71.70%,18.90%,6.60%,0.00%,2.80%,37
12,30276444,擅长捉弄的高木同学OVA：水滑梯 からかい上手の高木さん OVA 「ウォーター・スライダー」,2018,赤城博昭,高桥李依/梶裕贵/小原好美/市道真央/小仓唯/内田雄马/小岩井小鸟/落合福嗣/冈本信彦,喜剧/爱情/动画,日语,日本,9.2,2357,68.80%,23.00%,7.40%,0.50%,0.30%,323
13,27624729,さんタク2018 Santaku 2018,2018,明石家秋刀鱼,明石家秋刀鱼/木村拓哉/渡边直美,脱口秀,日语,日本,9.2,265,75.50%,15.90%,4.80%,0.00%,3.80%,50
14,30170448,何以为家 كفرناحوم,2018,娜丁·拉巴基,赞恩·阿尔·拉菲亚/约丹诺斯·希费罗/博鲁瓦蒂夫·特雷杰·班科尔/卡萨尔·艾尔·哈达德/法迪·尤瑟夫/海塔·塞德拉·伊扎姆/阿拉·乔什涅/娜丁·拉巴基/埃利亚斯·库利/努尔·艾尔·侯赛尼,剧情,阿拉伯语 / 阿姆哈拉语,黎巴嫩 / 美国 / 法国 / 塞浦路斯 / 卡塔尔 / 英国,9.1,947382,59.90%,34.10%,5.50%,0.40%,0.20%,245113
15,30366357,人人都在谈论杰米 Everybody's Talking About Jamie,2018,Jonathan Butterell,John McCrea/Josie Walker/Tamsin Carroll/Daniel Davids/Phil Nichol/Lucie Shorthouse,剧情/同性/音乐,英语,英国,9.1,1474,61.20%,32.20%,5.60%,0.40%,0.50%,463
16,30256023,李尔王 National Theatre Live: King Lear,2018,Jonathan Munby,伊恩·麦克莱恩/乔纳森·贝利/Kirsty Bushell/西妮德·库萨克/Richard Clews/菲尔·丹尼尔斯/John Hastings/德乌拉·基尔万/塔马拉·劳伦斯/多米尼克·马夫海姆/Jake Mann/克莱尔·普莱斯,,英语,英国,9.1,3652,63.40%,30.80%,5.00%,0.50%,0.20%,1526
